,APFC,MDPFC,RDPFC,LDPFC,IFC,RBA,LBA,PMC-SMA,M1,V2-V3,V1
APFC,,0.46281664063985406,0.4759003927642708,,,,0.3673393480431998,,,,
MDPFC,0.46281664063985406,,0.46836082931571743,0.6328086562346644,0.2527263106340566,,0.5633021161609773,,,,
RDPFC,0.4759003927642708,0.4683608293157175,,0.4285899843387694,,0.46630679353615445,0.41212911398221364,,,,
LDPFC,,0.6328086562346644,0.4285899843387694,,0.34568945613467705,,0.6202165782146808,,,,
IFC,,0.2527263106340566,,0.34568945613467705,,,,0.6850085345891461,0.5604714373797363,,
RBA,,,0.46630679353615456,,,,0.39758586401056484,,,,
LBA,0.3673393480431998,0.5633021161609774,0.41212911398221364,0.6202165782146808,,0.39758586401056484,,,,,
PMC-SMA,,,,,0.6850085345891461,,,,0.6294341827059219,,
M1,,,,,0.5604714373797361,,,0.6294341827059219,,,
V2-V3,,,,,,,,,,,0.6746880345343308
V1,,,,,,,,,,0.6746880345343308,
