,APFC,MDPFC,RDPFC,LDPFC,IFC,RBA,LBA,PMC-SMA,M1,V2-V3,V1
APFC,13.862943611198906,0.6257607639580494,0.625747442760137,0.39143039447394207,-0.04342244534204263,0.3161934433845189,0.43729280843878415,-0.1262860362247717,-0.0132947024783273,0.05698107252946141,0.11707886355440796
MDPFC,0.6257607639580494,inf,0.5505182549162381,0.9261565381639357,0.4541121686091634,0.3693817309663207,0.7315558099233868,0.3282076056975971,0.32581383775438627,0.11497131319635467,0.1775547566162461
RDPFC,0.625747442760137,0.5505182549162382,13.9495870087689,0.4873258205023756,0.12350652623514283,0.5506930280796004,0.468053284169276,0.017576840067184005,0.07099828427354897,0.04748308313988284,0.07601670519431793
LDPFC,0.391430394473942,0.9261565381639358,0.4873258205023756,inf,0.45642236087510346,0.3446621505212458,0.8958823296298892,0.32073878148136287,0.32075431449627423,0.21419972798546547,0.24797549043391515
IFC,-0.04342244534204262,0.4541121686091634,0.12350652623514283,0.45642236087510335,inf,0.14343620925378173,0.27010573314294395,1.226236662038379,0.7783960394067138,0.05217340438929722,0.07721989153210536
RBA,0.3161934433845189,0.36938173096632065,0.5506930280796005,0.34466215052124577,0.14343620925378173,inf,0.4762173366800081,-0.014557831752166461,0.03940787381126987,-0.22436334155259952,-0.149082313091359
LBA,0.43729280843878415,0.7315558099233868,0.46805328416927605,0.8958823296298892,0.270105733142944,0.4762173366800081,inf,0.15829319559348828,0.2900781891992603,0.13717547956820297,0.21071781881939677
PMC-SMA,-0.1262860362247717,0.32820760569759727,0.017576840067184032,0.3207387814813629,1.2262366620383798,-0.014557831752166461,0.1582931955934883,inf,0.9835882806400953,0.1876959530716576,0.16693649667678695
M1,-0.0132947024783273,0.32581383775438627,0.07099828427354896,0.32075431449627423,0.7783960394067135,0.03940787381126987,0.2900781891992603,0.9835882806400953,inf,0.26084928732850177,0.2718163983647947
V2-V3,0.05698107252946141,0.11497131319635467,0.04748308313988283,0.2141997279854655,0.05217340438929721,-0.22436334155259952,0.13717547956820297,0.1876959530716576,0.26084928732850177,inf,1.1592553126412646
V1,0.11707886355440796,0.1775547566162461,0.07601670519431791,0.24797549043391515,0.07721989153210536,-0.149082313091359,0.21071781881939677,0.16693649667678695,0.2718163983647947,1.1592553126412648,inf
