,APFC,MDPFC,RDPFC,LDPFC,IFC,RBA,LBA,PMC-SMA,M1,V2-V3,V1
APFC,inf,0.582449432627961,0.8947412491588811,0.2510758822739138,0.02762122195884156,0.27641772524927427,0.27513622653075137,-0.05379373361765109,-0.04075574976783903,0.04387599491670219,0.04973452655235429
MDPFC,0.582449432627961,inf,0.4238405094366858,0.78300954250261,0.5039317809262269,0.24194048422405764,0.6496568727514627,0.4019907839605015,0.3282195472442283,0.11082419938679379,0.062399072721005394
RDPFC,0.894741249158881,0.4238405094366857,inf,0.17616689671052127,-0.001240377728528766,0.399170488469744,0.22732509035344822,-0.026519059431063682,-0.017721984386336834,0.04007183696320108,0.03687309284155523
LDPFC,0.25107588227391386,0.78300954250261,0.17616689671052127,14.036230406338893,0.5399654637270197,0.18405679771023667,0.8342425998803427,0.4212047267017191,0.39820324600572343,0.2848446174341109,0.19355664582018817
IFC,0.02762122195884154,0.5039317809262267,-0.0012403777285287798,0.5399654637270197,inf,0.01400074513167432,0.339003408565126,1.1517606276694705,0.7795102401016423,0.23566624228234784,0.19531088741314315
RBA,0.2764177252492742,0.24194048422405764,0.3991704884697439,0.18405679771023667,0.01400074513167432,inf,0.39604827141991467,-0.14484266536074228,-0.0806265915176543,-0.21950081920037548,-0.17484369229635455
LBA,0.27513622653075137,0.6496568727514628,0.22732509035344822,0.8342425998803427,0.339003408565126,0.3960482714199147,inf,0.21858865200043726,0.30349134275584083,0.23623099162584626,0.20552036348396086
PMC-SMA,-0.05379373361765109,0.4019907839605013,-0.026519059431063696,0.42120472670171905,1.1517606276694696,-0.14484266536074228,0.2185886520004372,inf,1.0500681981727555,0.44677967165499494,0.34222565467873267
M1,-0.04075574976783903,0.3282195472442283,-0.017721984386336848,0.39820324600572354,0.7795102401016423,-0.0806265915176543,0.3034913427558408,1.0500681981727555,inf,0.5591490743159423,0.39364045032384054
V2-V3,0.04387599491670219,0.11082419938679379,0.04007183696320108,0.2848446174341109,0.23566624228234784,-0.21950081920037548,0.23623099162584624,0.44677967165499494,0.5591490743159422,inf,1.0705604879949373
V1,0.04973452655235429,0.062399072721005394,0.03687309284155524,0.19355664582018817,0.19531088741314315,-0.17484369229635455,0.20552036348396086,0.3422256546787328,0.39364045032384054,1.0705604879949375,inf
