,APFC,MDPFC,RDPFC,LDPFC,IFC,RBA,LBA,PMC-SMA,M1,V2-V3,V1
APFC,,0.46490051590437476,0.6213933852739637,,,,,,,,
MDPFC,0.4649005159043747,,0.382351656771879,0.5820120957821642,0.34001042173417834,,0.5136051457064169,0.2594221155870144,,,
RDPFC,0.6213933852739636,0.38235165677187893,,,,,,,,,
LDPFC,,0.5820120957821642,,,0.4346638554789524,,0.5963794356117704,0.35599146836382456,,,
IFC,,0.34001042173417834,,0.4346638554789524,,,,0.6608738364543948,0.5524625346116665,,
RBA,,,,,,,,,,,
LBA,,0.513605145706417,,0.5963794356117704,,,,,,,
PMC-SMA,,0.2594221155870144,,0.35599146836382456,0.6608738364543947,,,,0.6559274802494877,0.3602253810680238,
M1,,,,,0.5524625346116665,,,0.6559274802494877,,0.4403748671774866,
V2-V3,,,,,,,,0.3602253810680238,0.44037486717748653,,0.6502257220829053
V1,,,,,,,,,,0.6502257220829054,
