,APFC,MDPFC,RDPFC,LDPFC,IFC,RBA,LBA,PMC-SMA,M1,V2-V3,V1
APFC,,0.46281664063985406,0.4759003927642708,0.34373102170637426,-0.04302025734076761,0.2903153194357305,0.3673393480431998,-0.12044635578548385,-0.013641572531979444,0.056819637341461095,0.11596821293786103
MDPFC,0.46281664063985406,,0.46836082931571743,0.6328086562346644,0.2527263106340566,0.32326659886756925,0.5633021161609773,0.16768229910313,0.23343202452862727,0.11347266053677987,0.16982061328791742
RDPFC,0.4759003927642708,0.4683608293157175,,0.4285899843387694,0.10969692546238509,0.46630679353615445,0.41212911398221364,0.010564059863178724,0.06591978090582239,0.04695975518824952,0.0756820464917915
LDPFC,0.3437310217063742,0.6328086562346644,0.4285899843387694,,0.34568945613467705,0.2862517049661225,0.6202165782146808,0.24874390515245953,0.26392357989661347,0.2084001022355614,0.23726325294149297
IFC,-0.0430202573407676,0.2527263106340566,0.10969692546238509,0.34568945613467705,,0.10905159989707647,0.2156964934427383,0.6850085345891461,0.5604714373797363,0.052073977218422086,0.07640174473360263
RBA,0.2903153194357305,0.32326659886756925,0.46630679353615456,0.2862517049661225,0.10905159989707647,,0.39758586401056484,-0.0289663142240858,0.027208706455504883,-0.19736426176495497,-0.14012627049800228
LBA,0.3673393480431998,0.5633021161609774,0.41212911398221364,0.6202165782146808,0.21569649344273834,0.39758586401056484,,0.1126667649876615,0.24849194007912023,0.1349659368515904,0.2050578622929722
PMC-SMA,-0.12044635578548385,0.16768229910313004,0.010564059863178737,0.2487439051524596,0.6850085345891461,-0.0289663142240858,0.11266676498766151,,0.6294341827059219,0.180140414848145,0.15952406882922932
M1,-0.013641572531979444,0.23343202452862727,0.06591978090582237,0.26392357989661347,0.5604714373797361,0.027208706455504883,0.24849194007912023,0.6294341827059219,,0.2479561242699976,0.25362533467753023
V2-V3,0.056819637341461095,0.11347266053677987,0.04695975518824951,0.20840010223556144,0.05207397721842209,-0.19736426176495497,0.1349659368515904,0.18014041484814497,0.24795612426999764,,0.6746880345343308
V1,0.11596821293786103,0.16982061328791742,0.0756820464917915,0.23726325294149297,0.07640174473360263,-0.14012627049800228,0.2050578622929722,0.15952406882922934,0.25362533467753023,0.6746880345343308,
